[22;0t]0;IPython: OptNet_Modified/classification  + Number of params: 159010
Train Epoch: 0.30 [17792/60000 (30%)]	Loss: 0.204331	Error: 9.375000
Train Epoch: 0.30 [17856/60000 (30%)]	Loss: 0.154748	Error: 3.125000
Train Epoch: 0.30 [17920/60000 (30%)]	Loss: 0.182324	Error: 7.812500
Train Epoch: 0.30 [17984/60000 (30%)]	Loss: 0.072307	Error: 3.125000
Train Epoch: 0.30 [18048/60000 (30%)]	Loss: 0.162460	Error: 7.812500
Train Epoch: 0.30 [18112/60000 (30%)]	Loss: 0.201502	Error: 7.812500
Train Epoch: 0.30 [18176/60000 (30%)]	Loss: 0.246224	Error: 9.375000
Train Epoch: 0.30 [18240/60000 (30%)]	Loss: 0.101204	Error: 3.125000
Train Epoch: 0.30 [18304/60000 (30%)]	Loss: 0.205804	Error: 7.812500
Train Epoch: 0.30 [18368/60000 (30%)]	Loss: 0.303160	Error: 7.812500
Train Epoch: 0.31 [18432/60000 (31%)]	Loss: 0.346734	Error: 9.375000
Train Epoch: 0.31 [18496/60000 (31%)]	Loss: 0.245244	Error: 10.937500
Train Epoch: 0.31 [18560/60000 (31%)]	Loss: 0.219052	Error: 6.250000
Train Epoch: 0.31 [18624/60000 (31%)]	Loss: 0.168663	Error: 1.562500
Train Epoch: 0.31 [18688/60000 (31%)]	Loss: 0.154703	Error: 7.812500
Train Epoch: 0.31 [18752/60000 (31%)]	Loss: 0.487148	Error: 10.937500
Train Epoch: 0.31 [18816/60000 (31%)]	Loss: 0.070903	Error: 1.562500
Train Epoch: 0.31 [18880/60000 (31%)]	Loss: 0.255948	Error: 4.687500
Train Epoch: 0.31 [18944/60000 (31%)]	Loss: 0.102068	Error: 3.125000
Train Epoch: 0.32 [19008/60000 (32%)]	Loss: 0.190515	Error: 7.812500
Train Epoch: 0.32 [19072/60000 (32%)]	Loss: 0.210423	Error: 7.812500
Train Epoch: 0.32 [19136/60000 (32%)]	Loss: 0.171879	Error: 4.687500
Train Epoch: 0.32 [19200/60000 (32%)]	Loss: 0.120700	Error: 4.687500
Train Epoch: 0.32 [19264/60000 (32%)]	Loss: 0.092902	Error: 1.562500
Train Epoch: 0.32 [19328/60000 (32%)]	Loss: 0.486713	Error: 10.937500
Train Epoch: 0.32 [19392/60000 (32%)]	Loss: 0.370278	Error: 9.375000
Train Epoch: 0.32 [19456/60000 (32%)]	Loss: 0.176665	Error: 7.812500
Train Epoch: 0.32 [19520/60000 (32%)]	Loss: 0.105360	Error: 4.687500
Train Epoch: 0.33 [19584/60000 (33%)]	Loss: 0.282008	Error: 10.937500
Train Epoch: 0.33 [19648/60000 (33%)]	Loss: 0.222607	Error: 6.250000
Train Epoch: 0.33 [19712/60000 (33%)]	Loss: 0.210067	Error: 10.937500
Train Epoch: 0.33 [19776/60000 (33%)]	Loss: 0.201377	Error: 6.250000
Train Epoch: 0.33 [19840/60000 (33%)]	Loss: 0.283621	Error: 7.812500
Train Epoch: 0.33 [19904/60000 (33%)]	Loss: 0.214185	Error: 6.250000
Train Epoch: 0.33 [19968/60000 (33%)]	Loss: 0.136601	Error: 3.125000
Train Epoch: 0.33 [20032/60000 (33%)]	Loss: 0.104783	Error: 3.125000
